Capital Latitude,Capital Longitude,Country Name,Capital Name,
34.51666667,69.183333,Afghanistan,Kabul,
60.116667,19.9,Aland Islands,Mariehamn,
41.31666667,19.816667,Albania,Tirana,
36.75,3.05,Algeria,Algiers,
-14.26666667,-170.7,American Samoa,Pago Pago,
42.5,1.516667,Andorra,Andorra la Vella,
-8.833333333,13.216667,Angola,Luanda,
18.21666667,-63.05,Anguilla,The Valley,
17.11666667,-61.85,Antigua and Barbuda,Saint Johnís,
-34.58333333,-58.666667,Argentina,Buenos Aires,
40.16666667,44.5,Armenia,Yerevan,
12.51666667,-70.033333,Aruba,Oranjestad,
-35.26666667,149.133333,Australia,Canberra,
48.2,16.366667,Austria,Vienna,
40.38333333,49.866667,Azerbaijan,Baku,
25.08333333,-77.35,Bahamas,Nassau,
26.23333333,50.566667,Bahrain,Manama,
23.71666667,90.4,Bangladesh,Dhaka,
13.1,-59.616667,Barbados,Bridgetown,
53.9,27.566667,Belarus,Minsk,
50.83333333,4.333333,Belgium,Brussels,
17.25,-88.766667,Belize,Belmopan,
6.483333333,2.616667,Benin,Porto-Novo,
32.28333333,-64.783333,Bermuda,Hamilton,
27.46666667,89.633333,Bhutan,Thimphu,
-16.5,-68.15,Bolivia,La Paz,
43.86666667,18.416667,Bosnia and Herzegovina,Sarajevo,
-24.63333333,25.9,Botswana,Gaborone,
-15.78333333,-47.916667,Brazil,Brasilia,
-7.3,72.4,British Indian Ocean Territory,Diego Garcia,
18.41666667,-64.616667,British Virgin Islands,Road Town,
4.883333333,114.933333,Brunei Darussalam,Bandar Seri Begawan,
42.68333333,23.316667,Bulgaria,Sofia,
12.36666667,-1.516667,Burkina Faso,Ouagadougou,
-3.366666667,29.35,Burundi,Bujumbura,
11.55,104.916667,Cambodia,Phnom Penh,
3.866666667,11.516667,Cameroon,Yaounde,
45.41666667,-75.7,Canada,Ottawa,
14.91666667,-23.516667,Cape Verde,Praia,
19.3,-81.383333,Cayman Islands,George Town,
4.366666667,18.583333,Central African Republic,Bangui,
12.1,15.033333,Chad,NíDjamena,
-33.45,-70.666667,Chile,Santiago,
39.91666667,116.383333,China,Beijing,
-10.41666667,105.716667,Christmas Island,The Settlement,
-12.16666667,96.833333,Cocos Islands,West Island,
4.6,-74.083333,Colombia,Bogota,
-11.7,43.233333,Comoros,Moroni,
-21.2,-159.766667,Cook Islands,Avarua,
9.933333333,-84.083333,Costa Rica,San Jose,
6.816666667,-5.266667,Cote díIvoire,Yamoussoukro,
45.8,16,Croatia,Zagreb,
23.11666667,-82.35,Cuba,Havana,
12.1,-68.916667,Cura√ßao,Willemstad,
35.16666667,33.366667,Cyprus,Nicosia,
50.08333333,14.466667,Czech Republic,Prague,
-4.316666667,15.3,Democratic Republic of the Congo,Kinshasa,
55.66666667,12.583333,Denmark,Copenhagen,
11.58333333,43.15,Djibouti,Djibouti,
15.3,-61.4,Dominica,Roseau,
18.46666667,-69.9,Dominican Republic,Santo Domingo,
-0.216666667,-78.5,Ecuador,Quito,
30.05,31.25,Egypt,Cairo,
13.7,-89.2,El Salvador,San Salvador,
3.75,8.783333,Equatorial Guinea,Malabo,
15.33333333,38.933333,Eritrea,Asmara,
59.43333333,24.716667,Estonia,Tallinn,
9.033333333,38.7,Ethiopia,Addis Ababa,
-51.7,-57.85,Falkland Islands,Stanley,
62,-6.766667,Faroe Islands,Torshavn,
6.916666667,158.15,Federated States of Micronesia,Palikir,
-18.13333333,178.416667,Fiji,Suva,
60.16666667,24.933333,Finland,Helsinki,
48.86666667,2.333333,France,Paris,
-17.53333333,-149.566667,French Polynesia,Papeete,
-49.35,70.216667,French Southern and Antarctic Lands,Port-aux-Fran√ßais,
0.383333333,9.45,Gabon,Libreville,
41.68333333,44.833333,Georgia,Tbilisi,
52.51666667,13.4,Germany,Berlin,
5.55,-0.216667,Ghana,Accra,
36.13333333,-5.35,Gibraltar,Gibraltar,
37.98333333,23.733333,Greece,Athens,
64.18333333,-51.75,Greenland,Nuuk,
12.05,-61.75,Grenada,Saint Georgeís,
13.46666667,144.733333,Guam,Hagatna,
14.61666667,-90.516667,Guatemala,Guatemala City,
49.45,-2.533333,Guernsey,Saint Peter Port,
9.5,-13.7,Guinea,Conakry,
11.85,-15.583333,Guinea-Bissau,Bissau,
6.8,-58.15,Guyana,Georgetown,
18.53333333,-72.333333,Haiti,Port-au-Prince,
14.1,-87.216667,Honduras,Tegucigalpa,
47.5,19.083333,Hungary,Budapest,
64.15,-21.95,Iceland,Reykjavik,
28.6,77.2,India,New Delhi,
-6.166666667,106.816667,Indonesia,Jakarta,
35.7,51.416667,Iran,Tehran,
33.33333333,44.4,Iraq,Baghdad,
53.31666667,-6.233333,Ireland,Dublin,
54.15,-4.483333,Isle of Man,Douglas,
31.76666667,35.233333,Israel,Jerusalem,
41.9,12.483333,Italy,Rome,
18,-76.8,Jamaica,Kingston,
35.68333333,139.75,Japan,Tokyo,
49.18333333,-2.1,Jersey,Saint Helier,
31.95,35.933333,Jordan,Amman,
51.16666667,71.416667,Kazakhstan,Astana,
-1.283333333,36.816667,Kenya,Nairobi,
-0.883333333,169.533333,Kiribati,Tarawa,
42.66666667,21.166667,Kosovo,Pristina,
29.36666667,47.966667,Kuwait,Kuwait City,
42.86666667,74.6,Kyrgyzstan,Bishkek,
17.96666667,102.6,Laos,Vientiane,
56.95,24.1,Latvia,Riga,
33.86666667,35.5,Lebanon,Beirut,
-29.31666667,27.483333,Lesotho,Maseru,
6.3,-10.8,Liberia,Monrovia,
32.88333333,13.166667,Libya,Tripoli,
47.13333333,9.516667,Liechtenstein,Vaduz,
54.68333333,25.316667,Lithuania,Vilnius,
49.6,6.116667,Luxembourg,Luxembourg,
42,21.433333,Macedonia,Skopje,
-18.91666667,47.516667,Madagascar,Antananarivo,
-13.96666667,33.783333,Malawi,Lilongwe,
3.166666667,101.7,Malaysia,Kuala Lumpur,
4.166666667,73.5,Maldives,Male,
12.65,-8,Mali,Bamako,
35.88333333,14.5,Malta,Valletta,
7.1,171.383333,Marshall Islands,Majuro,
18.06666667,-15.966667,Mauritania,Nouakchott,
-20.15,57.483333,Mauritius,Port Louis,
19.43333333,-99.133333,Mexico,Mexico City,
47,28.85,Moldova,Chisinau,
43.73333333,7.416667,Monaco,Monaco,
47.91666667,106.916667,Mongolia,Ulaanbaatar,
42.43333333,19.266667,Montenegro,Podgorica,
16.7,-62.216667,Montserrat,Plymouth,
34.01666667,-6.816667,Morocco,Rabat,
-25.95,32.583333,Mozambique,Maputo,
16.8,96.15,Myanmar,Rangoon,
-22.56666667,17.083333,Namibia,Windhoek,
-0.5477,166.920867,Nauru,Yaren,
27.71666667,85.316667,Nepal,Kathmandu,
52.35,4.916667,Netherlands,Amsterdam,
-22.26666667,166.45,New Caledonia,Noumea,
-41.3,174.783333,New Zealand,Wellington,
12.13333333,-86.25,Nicaragua,Managua,
13.51666667,2.116667,Niger,Niamey,
9.083333333,7.533333,Nigeria,Abuja,
-19.01666667,-169.916667,Niue,Alofi,
-29.05,167.966667,Norfolk Island,Kingston,
39.01666667,125.75,North Korea,Pyongyang,
35.183333,33.366667,Northern Cyprus,North Nicosia,
15.2,145.75,Northern Mariana Islands,Saipan,
59.91666667,10.75,Norway,Oslo,
23.61666667,58.583333,Oman,Muscat,
33.68333333,73.05,Pakistan,Islamabad,
7.483333333,134.633333,Palau,Melekeok,
31.76666667,35.233333,Palestine,Jerusalem,
8.966666667,-79.533333,Panama,Panama City,
-9.45,147.183333,Papua New Guinea,Port Moresby,
-25.26666667,-57.666667,Paraguay,Asuncion,
-12.05,-77.05,Peru,Lima,
14.6,120.966667,Philippines,Manila,
-25.06666667,-130.083333,Pitcairn Islands,Adamstown,
52.25,21,Poland,Warsaw,
38.71666667,-9.133333,Portugal,Lisbon,
18.46666667,-66.116667,Puerto Rico,San Juan,
25.28333333,51.533333,Qatar,Doha,
-4.25,15.283333,Republic of Congo,Brazzaville,
44.43333333,26.1,Romania,Bucharest,
55.75,37.6,Russia,Moscow,
-1.95,30.05,Rwanda,Kigali,
17.88333333,-62.85,Saint Barthelemy,Gustavia,
-15.93333333,-5.716667,Saint Helena,Jamestown,
17.3,-62.716667,Saint Kitts and Nevis,Basseterre,
14,-61,Saint Lucia,Castries,
18.0731,-63.0822,Saint Martin,Marigot,
46.76666667,-56.183333,Saint Pierre and Miquelon,Saint-Pierre,
13.13333333,-61.216667,Saint Vincent and the Grenadines,Kingstown,
-13.81666667,-171.766667,Samoa,Apia,
43.93333333,12.416667,San Marino,San Marino,
0.333333333,6.733333,Sao Tome and Principe,Sao Tome,
24.65,46.7,Saudi Arabia,Riyadh,
14.73333333,-17.633333,Senegal,Dakar,
44.83333333,20.5,Serbia,Belgrade,
-4.616666667,55.45,Seychelles,Victoria,
8.483333333,-13.233333,Sierra Leone,Freetown,
1.283333333,103.85,Singapore,Singapore,
18.01666667,-63.033333,Sint Maarten,Philipsburg,
48.15,17.116667,Slovakia,Bratislava,
46.05,14.516667,Slovenia,Ljubljana,
-9.433333333,159.95,Solomon Islands,Honiara,
2.066666667,45.333333,Somalia,Mogadishu,
9.55,44.05,Somaliland,Hargeisa,
-25.7,28.216667,South Africa,Pretoria,
-54.283333,-36.5,South Georgia and South Sandwich Islands,King Edward Point,
37.55,126.983333,South Korea,Seoul,
4.85,31.616667,South Sudan,Juba,
40.4,-3.683333,Spain,Madrid,
6.916666667,79.833333,Sri Lanka,Colombo,
15.6,32.533333,Sudan,Khartoum,
5.833333333,-55.166667,Suriname,Paramaribo,
78.21666667,15.633333,Svalbard,Longyearbyen,
-26.31666667,31.133333,Swaziland,Mbabane,
59.33333333,18.05,Sweden,Stockholm,
46.91666667,7.466667,Switzerland,Bern,
33.5,36.3,Syria,Damascus,
25.03333333,121.516667,Taiwan,Taipei,
38.55,68.766667,Tajikistan,Dushanbe,
-6.8,39.283333,Tanzania,Dar es Salaam,
13.75,100.516667,Thailand,Bangkok,
13.45,-16.566667,The Gambia,Banjul,
-8.583333333,125.6,Timor-Leste,Dili,
6.116666667,1.216667,Togo,Lome,
-9.166667,-171.833333,Tokelau,Atafu,
-21.13333333,-175.2,Tonga,Nukuíalofa,
10.65,-61.516667,Trinidad and Tobago,Port of Spain,
36.8,10.183333,Tunisia,Tunis,
39.93333333,32.866667,Turkey,Ankara,
37.95,58.383333,Turkmenistan,Ashgabat,
21.46666667,-71.133333,Turks and Caicos Islands,Grand Turk,
-8.516666667,179.216667,Tuvalu,Funafuti,
0.316666667,32.55,Uganda,Kampala,
50.43333333,30.516667,Ukraine,Kyiv,
24.46666667,54.366667,United Arab Emirates,Abu Dhabi,
51.5,-0.083333,United Kingdom,London,
38.883333,-77,United States,Washington, D.C.
-34.85,-56.166667,Uruguay,Montevideo,
38.883333,-77,US Minor Outlying Islands,Washington, D.C.
18.35,-64.933333,US Virgin Islands,Charlotte Amalie,
41.31666667,69.25,Uzbekistan,Tashkent,
-17.73333333,168.316667,Vanuatu,Port-Vila,
41.9,12.45,Vatican City,Vatican City,
10.48333333,-66.866667,Venezuela,Caracas,
21.03333333,105.85,Vietnam,Hanoi,
-13.95,-171.933333,Wallis and Futuna,Mata-Utu,
27.153611,-13.203333,Western Sahara,El-Aai√∫n,
15.35,44.2,Yemen,Sanaa,
-15.41666667,28.283333,Zambia,Lusaka,
-17.81666667,31.033333,Zimbabwe,Harare,
